Sl/No,Date,Time,Temperature,Humidity,CO_ppb,SO2_ppb,NO2_ppb,O3_ppb,CO2_ppm,PM2.5_ug/m3,PM10_ug/m3,AQI_PM2.5,AQI_PM10,Overall_AQI,Battery_Percentage,Rain_Detected
172,2025-02-14,11:57:50,30.10,61.00,281.23,6.49,2.60,4.33,225.08,21.63,43.27,71,40,71,100.00,No
1,2025-02-14,11:57:52,30.10,61.00,281.23,6.49,2.60,4.33,225.08,21.63,43.27,71,40,71,100.00,Yes
2,2025-02-14,11:57:55,30.10,61.00,277.29,6.40,2.56,4.27,222.65,21.33,42.66,70,39,70,100.00,No
3,2025-02-14,11:57:57,30.10,61.00,278.59,6.43,2.57,4.29,223.46,21.43,42.86,70,39,70,100.00,No
4,2025-02-14,11:57:59,30.10,61.00,279.91,6.46,2.58,4.31,224.27,21.53,43.06,70,39,70,100.00,No
5,2025-02-14,11:58:01,30.10,61.00,276.64,6.38,2.55,4.26,222.25,21.28,42.56,70,39,70,100.00,Yes
6,2025-02-14,11:58:03,30.10,61.00,279.91,6.46,2.58,4.31,224.27,21.53,43.06,70,39,70,100.00,No
7,2025-02-14,11:58:05,30.10,61.00,281.23,6.49,2.60,4.33,225.08,21.63,43.27,71,40,71,100.00,Yes
8,2025-02-14,11:58:07,30.10,61.00,278.59,6.43,2.57,4.29,223.46,21.43,42.86,70,39,70,100.00,No
9,2025-02-14,11:58:09,30.10,61.00,276.64,6.38,2.55,4.26,222.25,21.28,42.56,70,39,70,100.00,No
10,2025-02-14,11:58:11,30.10,61.00,280.57,6.47,2.59,4.32,224.67,21.58,43.16,70,39,70,100.00,No
11,2025-02-14,11:58:13,30.10,61.00,281.23,6.49,2.60,4.33,225.08,21.63,43.27,71,40,71,100.00,Yes
12,2025-02-14,11:58:15,30.10,61.00,279.25,6.44,2.58,4.30,223.86,21.48,42.96,70,39,70,100.00,No
13,2025-02-14,11:58:18,30.10,61.00,280.57,6.47,2.59,4.32,224.67,21.58,43.16,70,39,70,100.00,Yes
14,2025-02-14,11:58:20,30.10,61.00,283.25,6.54,2.61,4.36,226.32,21.79,43.58,71,40,71,100.00,No
15,2025-02-14,11:58:22,30.10,61.00,279.25,6.44,2.58,4.30,223.86,21.48,42.96,70,39,70,100.00,Yes
16,2025-02-14,11:58:24,30.10,61.00,281.23,6.49,2.60,4.33,225.08,21.63,43.27,71,40,71,100.00,No
17,2025-02-14,11:58:26,30.10,61.00,281.23,6.49,2.60,4.33,225.08,21.63,43.27,71,40,71,100.00,Yes
18,2025-02-14,11:58:28,30.10,61.00,280.57,6.47,2.59,4.32,224.67,21.58,43.16,70,39,70,100.00,No
19,2025-02-14,11:58:30,30.10,61.00,281.90,6.51,2.60,4.34,225.49,21.68,43.37,71,40,71,100.00,Yes
20,2025-02-14,11:58:32,30.10,61.00,281.23,6.49,2.60,4.33,225.08,21.63,43.27,71,40,71,100.00,No
21,2025-02-14,11:58:34,30.10,61.00,281.90,6.51,2.60,4.34,225.49,21.68,43.37,71,40,71,100.00,Yes
22,2025-02-14,11:58:37,30.10,61.00,281.23,6.49,2.60,4.33,225.08,21.63,43.27,71,40,71,100.00,No
23,2025-02-14,11:58:39,30.10,60.00,277.29,6.40,2.56,4.27,222.65,21.33,42.66,70,39,70,100.00,Yes
24,2025-02-14,11:58:41,30.10,60.00,279.91,6.46,2.58,4.31,224.27,21.53,43.06,70,39,70,100.00,No
25,2025-02-14,11:58:43,30.10,60.00,280.57,6.47,2.59,4.32,224.67,21.58,43.16,70,39,70,100.00,No
26,2025-02-14,11:58:45,30.10,60.00,283.92,6.55,2.62,4.37,226.74,21.84,43.68,71,40,71,100.00,No
27,2025-02-14,11:58:47,30.10,60.00,281.23,6.49,2.60,4.33,225.08,21.63,43.27,71,40,71,100.00,No
28,2025-02-14,11:58:49,30.10,60.00,280.57,6.47,2.59,4.32,224.67,21.58,43.16,70,39,70,100.00,Yes
29,2025-02-14,11:58:51,30.10,60.00,279.25,6.44,2.58,4.30,223.86,21.48,42.96,70,39,70,100.00,No
30,2025-02-14,11:58:53,30.10,60.00,279.91,6.46,2.58,4.31,224.27,21.53,43.06,70,39,70,100.00,No
31,2025-02-14,11:58:55,30.10,60.00,280.57,6.47,2.59,4.32,224.67,21.58,43.16,70,39,70,100.00,No
32,2025-02-14,11:58:57,30.10,60.00,283.25,6.54,2.61,4.36,226.32,21.79,43.58,71,40,71,100.00,Yes
33,2025-02-14,11:58:59,30.10,60.00,280.57,6.47,2.59,4.32,224.67,21.58,43.16,70,39,70,100.00,No
34,2025-02-14,11:59:02,30.10,60.00,283.92,6.55,2.62,4.37,226.74,21.84,43.68,71,40,71,100.00,No
35,2025-02-14,11:59:04,30.10,60.00,282.57,6.52,2.61,4.35,225.91,21.74,43.47,71,40,71,100.00,Yes
36,2025-02-14,11:59:06,30.10,60.00,281.23,6.49,2.60,4.33,225.08,21.63,43.27,71,40,71,100.00,No
37,2025-02-14,11:59:08,30.10,60.00,281.90,6.51,2.60,4.34,225.49,21.68,43.37,71,40,71,100.00,No
38,2025-02-14,11:59:10,30.10,60.00,283.25,6.54,2.61,4.36,226.32,21.79,43.58,71,40,71,100.00,No
39,2025-02-14,11:59:12,30.10,60.00,283.25,6.54,2.61,4.36,226.32,21.79,43.58,71,40,71,100.00,Yes
40,2025-02-14,11:59:14,30.10,60.00,281.23,6.49,2.60,4.33,225.08,21.63,43.27,71,40,71,100.00,No
41,2025-02-14,11:59:16,30.10,60.00,285.97,6.60,2.64,4.40,227.99,22.00,43.99,71,40,71,100.00,No
42,2025-02-14,11:59:18,30.10,60.00,282.57,6.52,2.61,4.35,225.91,21.74,43.47,71,40,71,100.00,No
43,2025-02-14,11:59:20,30.10,60.00,282.57,6.52,2.61,4.35,225.91,21.74,43.47,71,40,71,100.00,Yes
44,2025-02-14,11:59:22,30.10,60.00,283.25,6.54,2.61,4.36,226.32,21.79,43.58,71,40,71,100.00,No
45,2025-02-14,11:59:25,30.10,60.00,281.90,6.51,2.60,4.34,225.49,21.68,43.37,71,40,71,100.00,No
46,2025-02-14,11:59:27,30.10,60.00,282.57,6.52,2.61,4.35,225.91,21.74,43.47,71,40,71,100.00,Yes
47,2025-02-14,11:59:29,30.10,60.00,283.92,6.55,2.62,4.37,226.74,21.84,43.68,71,40,71,100.00,Yes
48,2025-02-14,11:59:31,30.10,60.00,282.57,6.52,2.61,4.35,225.91,21.74,43.47,71,40,71,100.00,No
49,2025-02-14,11:59:33,30.10,60.00,284.60,6.57,2.63,4.38,227.15,21.89,43.78,71,40,71,100.00,Yes
50,2025-02-14,11:59:35,30.10,60.00,285.97,6.60,2.64,4.40,227.99,22.00,43.99,71,40,71,100.00,No
51,2025-02-14,11:59:37,30.10,60.00,281.90,6.51,2.60,4.34,225.49,21.68,43.37,71,40,71,100.00,No
52,2025-02-14,11:59:39,30.10,60.00,285.97,6.60,2.64,4.40,227.99,22.00,43.99,71,40,71,100.00,Yes
53,2025-02-14,11:59:41,30.10,60.00,283.92,6.55,2.62,4.37,226.74,21.84,43.68,71,40,71,100.00,Yes
54,2025-02-14,11:59:43,30.10,60.00,285.97,6.60,2.64,4.40,227.99,22.00,43.99,71,40,71,100.00,No
55,2025-02-14,11:59:46,30.10,60.00,283.25,6.54,2.61,4.36,226.32,21.79,43.58,71,40,71,100.00,No
56,2025-02-14,11:59:48,30.10,60.00,286.65,6.62,2.65,4.41,228.41,22.05,44.10,71,40,71,100.00,No
57,2025-02-14,11:59:50,30.10,60.00,286.65,6.62,2.65,4.41,228.41,22.05,44.10,71,40,71,100.00,Yes
58,2025-02-14,11:59:52,30.10,60.00,286.65,6.62,2.65,4.41,228.41,22.05,44.10,71,40,71,100.00,Yes
59,2025-02-14,11:59:54,30.10,60.00,285.97,6.60,2.64,4.40,227.99,22.00,43.99,71,40,71,100.00,No
60,2025-02-14,11:59:56,30.10,60.00,283.25,6.54,2.61,4.36,226.32,21.79,43.58,71,40,71,100.00,No
61,2025-02-14,11:59:58,30.10,60.00,288.73,6.66,2.67,4.44,229.69,22.21,44.42,72,41,72,100.00,Yes
62,2025-02-14,12:00:00,30.10,60.00,285.28,6.58,2.63,4.39,227.57,21.94,43.89,71,40,71,100.00,No
63,2025-02-14,12:00:02,30.10,60.00,281.90,6.51,2.60,4.34,225.49,21.68,43.37,71,40,71,100.00,No
64,2025-02-14,12:00:04,30.10,60.00,288.04,6.65,2.66,4.43,229.26,22.16,44.31,72,41,72,100.00,Yes
65,2025-02-14,12:00:06,30.10,60.00,285.97,6.60,2.64,4.40,227.99,22.00,43.99,71,40,71,100.00,No
66,2025-02-14,12:00:09,30.10,60.00,287.34,6.63,2.65,4.42,228.84,22.10,44.21,72,40,72,100.00,No
67,2025-02-14,12:00:11,30.10,60.00,286.65,6.62,2.65,4.41,228.41,22.05,44.10,71,40,71,100.00,Yes
68,2025-02-14,12:00:13,30.10,60.00,288.73,6.66,2.67,4.44,229.69,22.21,44.42,72,41,72,100.00,No
69,2025-02-14,12:00:15,30.10,60.00,284.60,6.57,2.63,4.38,227.15,21.89,43.78,71,40,71,100.00,No
70,2025-02-14,12:00:17,30.10,60.00,287.34,6.63,2.65,4.42,228.84,22.10,44.21,72,40,72,100.00,Yes
71,2025-02-14,12:00:19,30.10,60.00,288.04,6.65,2.66,4.43,229.26,22.16,44.31,72,41,72,100.00,No
72,2025-02-14,12:00:21,30.10,60.00,285.97,6.60,2.64,4.40,227.99,22.00,43.99,71,40,71,100.00,No
73,2025-02-14,12:00:23,30.10,60.00,287.34,6.63,2.65,4.42,228.84,22.10,44.21,72,40,72,100.00,Yes
74,2025-02-14,12:00:25,30.10,61.00,287.34,6.63,2.65,4.42,228.84,22.10,44.21,72,40,72,100.00,Yes
75,2025-02-14,12:00:27,30.10,61.00,287.34,6.63,2.65,4.42,228.84,22.10,44.21,72,40,72,100.00,No
76,2025-02-14,12:00:29,30.10,61.00,283.25,6.54,2.61,4.36,226.32,21.79,43.58,71,40,71,100.00,No
