Sl/No,Date,Time,AQI_PM10,AQI_PM2_5,Battery_Percentage,CO2_ppm,CO_ppb,Humidity_Percent,NO2_ppb,O3_ppb,Overall_AQI,PM10_ugm3,PM2_5_ugm3,Rain_Detected,SO2_ppb,Temperature_C
1,,,0,0,0,0,0,0,0,0,0,0,0,No,0,0
2,,,0,0,0,0,0,0,0,0,0,0,0,No,0,0
3,,,0,0,0,0,0,0,0,0,0,0,0,No,0,0
4,,,0,0,0,0,0,0,0,0,0,0,0,No,0,0
5,,,0,0,0,0,0,0,0,0,0,0,0,No,0,0
6,,,0,0,0,0,0,0,0,0,0,0,0,No,0,0
7,,,0,0,0,0,0,0,0,0,0,0,0,No,0,0
8,,,0,0,0,0,0,0,0,0,0,0,0,No,0,0
9,,,0,0,0,0,0,0,0,0,0,0,0,No,0,0
10,,,45,76,100,246.65643,316.77719,48,2.9241,4.8735,76,48.73495,24.36748,No,7.31024,35.9
11,,,45,76,100,246.16454,315.95596,48,2.91652,4.86086,76,48.60861,24.30431,No,7.29129,36
12,,,44,76,100,245.67462,315.13855,48,2.90897,4.84829,76,48.48286,24.24143,No,7.27243,35.8
13,,,45,77,100,248.6441,320.10062,49,2.95477,4.92462,77,49.24625,24.62312,No,7.38694,35.5
14,,,45,77,100,248.14415,319.26395,50,2.94705,4.91175,77,49.11753,24.55876,No,7.36763,35.1
15,,,45,77,100,249.1461,320.94122,50,2.96253,4.93756,77,49.37557,24.68779,No,7.40634,34.9
16,,,45,77,100,249.1461,320.94122,51,2.96253,4.93756,77,49.37557,24.68779,No,7.40634,34.6
17,,,46,78,100,251.1749,324.34369,52,2.99394,4.9899,78,49.89903,24.94951,No,7.48485,34.4
18,,,46,78,100,251.1749,324.34369,52,2.99394,4.9899,78,49.89903,24.94951,No,7.48485,34.2
19,,,45,77,100,250.15633,322.63443,52,2.97816,4.96361,77,49.63607,24.81803,No,7.44541,34.4
20,,,46,78,100,252.71867,326.93826,49,3.01789,5.02982,78,50.29819,25.1491,No,7.54473,35.4
21,,,47,79,100,255.33499,331.34631,47,3.05858,5.09764,79,50.97636,25.48818,No,7.64645,36.1
22,,,46,78,100,253.75861,328.68875,48,3.03405,5.05675,78,50.5675,25.28375,No,7.58512,36
23,,,46,78,100,253.75861,328.68875,49,3.03405,5.05675,78,50.5675,25.28375,No,7.58512,35.7
24,,,46,78,100,253.75861,328.68875,49,3.03405,5.05675,78,50.5675,25.28375,No,7.58512,35.4
25,,,46,78,100,253.75861,328.68875,50,3.03405,5.05675,78,50.5675,25.28375,No,7.58512,35.1
26,,,47,79,100,256.39703,333.13956,51,3.07513,5.12522,79,51.25224,25.62612,No,7.68784,34.8
27,,,47,79,100,255.33499,331.34631,52,3.05858,5.09764,79,50.97636,25.48818,No,7.64645,34.6
