Sl/No,Date,Time,Temperature,Humidity,CO_ppb,SO2_ppb,NO2_ppb,O3_ppb,CO2_ppm,PM2.5_ug/m3,PM10_ug/m3,AQI_PM2.5,AQI_PM10,Overall_AQI,Battery_Percentage,Rain_Detected
1,2025-02-10,16:59:13,32.30,52.00,471.85,10.89,4.36,7.26,335.10,36.30,72.59,102,59,102,0.00,No
2,2025-02-10,16:59:16,32.30,52.00,475.28,10.97,4.39,7.31,336.97,36.56,73.12,103,59,103,0.00,No
3,2025-02-10,16:59:18,32.40,52.00,478.75,11.05,4.42,7.37,338.86,36.83,73.65,104,60,104,0.00,No
4,2025-02-10,16:59:20,32.40,52.00,482.27,11.13,4.45,7.42,340.78,37.10,74.20,104,60,104,0.00,No
5,2025-02-10,16:59:22,32.40,52.00,482.27,11.13,4.45,7.42,340.78,37.10,74.20,104,60,104,0.00,No
6,2025-02-10,16:59:24,32.40,52.00,471.85,10.89,4.36,7.26,335.10,36.30,72.59,102,59,102,0.00,No
7,2025-02-10,16:59:26,32.40,52.00,478.75,11.05,4.42,7.37,338.86,36.83,73.65,104,60,104,0.00,No
8,2025-02-10,16:59:28,32.40,52.00,480.51,11.09,4.44,7.39,339.82,36.96,73.92,104,60,104,0.00,No
9,2025-02-10,16:59:30,32.40,52.00,482.27,11.13,4.45,7.42,340.78,37.10,74.20,104,60,104,0.00,No
10,2025-02-10,16:59:32,32.40,52.00,482.27,11.13,4.45,7.42,340.78,37.10,74.20,104,60,104,0.00,No
11,2025-02-10,16:59:34,32.40,52.00,489.46,11.30,4.52,7.53,344.68,37.65,75.30,106,61,106,0.00,No
12,2025-02-10,16:59:36,32.40,52.00,484.05,11.17,4.47,7.45,341.74,37.23,74.47,105,60,105,0.00,No
13,2025-02-10,16:59:39,32.40,52.00,487.65,11.25,4.50,7.50,343.69,37.51,75.02,105,60,105,0.00,No
14,2025-02-10,16:59:41,32.40,52.00,484.05,11.17,4.47,7.45,341.74,37.23,74.47,105,60,105,0.00,No
15,2025-02-10,16:59:43,32.40,52.00,485.84,11.21,4.48,7.47,342.72,37.37,74.75,105,60,105,0.00,No
16,2025-02-10,16:59:45,32.40,51.00,491.29,11.34,4.53,7.56,345.67,37.79,75.58,106,61,106,0.00,No
17,2025-02-10,16:59:47,32.40,51.00,489.46,11.30,4.52,7.53,344.68,37.65,75.30,106,61,106,0.00,No
18,2025-02-10,16:59:49,32.50,51.00,500.63,11.55,4.62,7.70,350.71,38.51,77.02,108,61,108,0.00,No
19,2025-02-10,16:59:51,32.50,51.00,491.29,11.34,4.53,7.56,345.67,37.79,75.58,106,61,106,0.00,No
20,2025-02-10,16:59:53,32.50,51.00,496.85,11.47,4.59,7.64,348.67,38.22,76.44,107,61,107,0.00,No
21,2025-02-10,16:59:55,32.50,51.00,485.84,11.21,4.48,7.47,342.72,37.37,74.75,105,60,105,0.00,No
22,2025-02-10,16:59:57,32.50,51.00,496.85,11.47,4.59,7.64,348.67,38.22,76.44,107,61,107,0.00,No
23,2025-02-10,16:59:59,32.50,51.00,493.13,11.38,4.55,7.59,346.66,37.93,75.87,106,61,106,0.00,No
