Sl/No,Date,Time,Temperature,Humidity,CO_ppb,SO2_ppb,NO2_ppb,O3_ppb,CO2_ppm,PM2.5_ug/m3,PM10_ug/m3,AQI_PM2.5,AQI_PM10,Overall_AQI,Rain_Detected
1.0,2025-02-10,14:58:15,31.5,46.0,445.99,10.29,4.12,6.86,320.89,34.31,68.61,97.0,57.0,97.0,No
1.0,2025-02-10,14:58:17,31.5,46.0,438.45,10.12,4.05,6.75,316.7,33.73,67.45,96.0,57.0,96.0,No
2.0,2025-02-10,14:58:19,31.5,46.0,429.69,9.92,3.97,6.61,311.83,33.05,66.11,95.0,56.0,95.0,No
3.0,2025-02-10,14:58:22,31.5,46.0,434.03,10.02,4.01,6.68,314.25,33.39,66.77,95.0,56.0,95.0,No
4.0,2025-02-10,14:58:24,31.5,46.0,415.8,9.6,3.84,6.4,304.04,31.98,63.97,92.0,55.0,92.0,No
5.0,2025-02-10,14:58:26,31.5,46.0,414.45,9.56,3.83,6.38,303.29,31.88,63.76,92.0,55.0,92.0,No
6.0,2025-02-10,14:58:28,31.5,46.0,406.55,9.38,3.75,6.25,298.83,31.27,62.55,91.0,54.0,91.0,No
7.0,2025-02-10,14:58:30,31.5,46.0,402.71,9.29,3.72,6.2,296.66,30.98,61.95,90.0,54.0,90.0,No
8.0,2025-02-10,14:58:32,31.5,46.0,403.98,9.32,3.73,6.22,297.38,31.08,62.15,90.0,54.0,90.0,No
9.0,2025-02-10,14:58:34,31.5,45.0,396.44,9.15,3.66,6.1,293.1,30.5,60.99,89.0,53.0,89.0,No
10.0,2025-02-10,14:58:36,31.5,45.0,400.18,9.23,3.69,6.16,295.22,30.78,61.57,90.0,54.0,90.0,No
11.0,2025-02-10,14:58:38,31.5,45.0,396.44,9.15,3.66,6.1,293.1,30.5,60.99,89.0,53.0,89.0,No
12.0,2025-02-10,14:58:40,31.5,45.0,393.98,9.09,3.64,6.06,291.7,30.31,60.61,89.0,53.0,89.0,No
13.0,2025-02-10,14:58:42,31.5,45.0,396.44,9.15,3.66,6.1,293.1,30.5,60.99,89.0,53.0,89.0,No
1.0,2025-02-10,14:58:46,31.5,45.0,411.79,9.5,3.8,6.34,301.79,31.68,63.35,92.0,55.0,92.0,No
1.0,2025-02-10,14:58:48,31.5,45.0,406.55,9.38,3.75,6.25,298.83,31.27,62.55,91.0,54.0,91.0,No
2.0,2025-02-10,14:58:50,31.5,45.0,401.44,9.26,3.71,6.18,295.94,30.88,61.76,90.0,54.0,90.0,No
3.0,2025-02-10,14:58:52,31.5,45.0,407.85,9.41,3.76,6.27,299.57,31.37,62.75,91.0,54.0,91.0,No
4.0,2025-02-10,14:58:54,31.5,45.0,393.98,9.09,3.64,6.06,291.7,30.31,60.61,89.0,53.0,89.0,No
5.0,2025-02-10,14:58:56,31.5,45.0,392.77,9.06,3.63,6.04,291.01,30.21,60.43,89.0,53.0,89.0,No
6.0,2025-02-10,14:58:58,31.6,45.0,393.98,9.09,3.64,6.06,291.7,30.31,60.61,89.0,53.0,89.0,No
7.0,2025-02-10,14:59:00,31.5,45.0,389.15,8.98,3.59,5.99,288.95,29.93,59.87,88.0,53.0,88.0,No
8.0,2025-02-10,14:59:02,31.5,45.0,391.55,9.04,3.61,6.02,290.32,30.12,60.24,88.0,53.0,88.0,No
9.0,2025-02-10,14:59:04,31.6,45.0,389.15,8.98,3.59,5.99,288.95,29.93,59.87,88.0,53.0,88.0,No
10.0,2025-02-10,14:59:06,31.6,45.0,392.77,9.06,3.63,6.04,291.01,30.21,60.43,89.0,53.0,89.0,No
11.0,2025-02-10,14:59:09,31.6,45.0,389.15,8.98,3.59,5.99,288.95,29.93,59.87,88.0,53.0,88.0,No
12.0,2025-02-10,14:59:11,31.6,45.0,389.15,8.98,3.59,5.99,288.95,29.93,59.87,88.0,53.0,88.0,No
13.0,2025-02-10,14:59:13,31.6,45.0,384.43,8.87,3.55,5.91,286.25,29.57,59.14,87.0,53.0,87.0,No
14.0,2025-02-10,14:59:15,31.6,45.0,389.15,8.98,3.59,5.99,288.95,29.93,59.87,88.0,53.0,88.0,No
15.0,2025-02-10,14:59:17,31.6,45.0,393.98,9.09,3.64,6.06,291.7,30.31,60.61,89.0,53.0,89.0,No
16.0,2025-02-10,14:59:19,31.6,45.0,390.35,9.01,3.6,6.01,289.63,30.03,60.05,88.0,53.0,88.0,No
17.0,2025-02-10,14:59:21,31.6,45.0,392.77,9.06,3.63,6.04,291.01,30.21,60.43,89.0,53.0,89.0,No
18.0,2025-02-10,14:59:23,31.6,45.0,389.15,8.98,3.59,5.99,288.95,29.93,59.87,88.0,53.0,88.0,No
